timestamp,server_label,players,max_players,bots,map,online
2026-08-04T06:14:08,NEXUS,0,64,0,rp_nexus_base_tropical_v1,1
2026-08-04T06:14:08,AXIOM,,,,,0
2026-08-04T06:14:08,COSMOS,,,,,0
2026-08-04T09:08:25,AETHER,,,,,0
2026-08-04T09:08:25,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T09:08:25,NEXUS,1,64,0,rp_nexus_base_tropical_v1,1
2026-08-04T09:08:25,AXIOM,,,,,0
2026-08-04T09:08:25,COSMOS,,,,,0
2026-08-04T11:31:27,AETHER,,,,,0
2026-08-04T11:31:27,AETHER_EVENT,1,64,0,rp_venator_notorious,1
2026-08-04T11:31:27,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-04T11:31:27,AXIOM,,,,,0
2026-08-04T11:31:27,COSMOS,,,,,0
2026-08-04T13:18:16,AETHER,,,,,0
2026-08-04T13:18:16,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T13:18:16,NEXUS,,,,,0
2026-08-04T13:18:16,AXIOM,,,,,0
2026-08-04T13:18:16,COSMOS,,,,,0
2026-08-04T15:38:20,AETHER,,,,,0
2026-08-04T15:38:20,AETHER_EVENT,2,64,0,rp_venator_notorious,1
2026-08-04T15:38:20,NEXUS,12,64,0,rp_underwater_republic_base,1
2026-08-04T15:38:20,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-04T15:38:20,COSMOS,,,,,0
2026-08-04T17:16:11,AETHER,,,,,0
2026-08-04T17:16:11,AETHER_EVENT,3,64,0,rp_venator_notorious,1
2026-08-04T17:16:11,NEXUS,13,64,0,rp_underwater_republic_base,1
2026-08-04T17:16:11,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-04T17:16:11,COSMOS,,,,,0
2026-08-04T18:54:03,AETHER,,,,,0
2026-08-04T18:54:03,AETHER_EVENT,11,64,0,rp_venator_notorious,1
2026-08-04T18:54:03,NEXUS,16,64,0,rp_underwater_republic_base,1
2026-08-04T18:54:03,AXIOM,,,,,0
2026-08-04T18:54:03,COSMOS,,,,,0
2026-08-04T20:16:18,AETHER,,,,,0
2026-08-04T20:16:18,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T20:16:18,NEXUS,18,64,0,rp_underwater_republic_base,1
2026-08-04T20:16:18,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-04T20:16:18,COSMOS,,,,,0
2026-08-04T21:37:15,AETHER,,,,,0
2026-08-04T21:37:15,AETHER_EVENT,5,64,0,rp_venator_notorious,1
2026-08-04T21:37:15,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-04T21:37:15,AXIOM,,,,,0
2026-08-04T21:37:15,COSMOS,,,,,0
2026-08-04T22:40:08,AETHER,,,,,0
2026-08-04T22:40:08,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T22:40:08,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-04T22:40:08,AXIOM,,,,,0
2026-08-04T22:40:08,COSMOS,,,,,0
2026-08-04T23:39:36,AETHER,,,,,0
2026-08-04T23:39:36,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T23:39:36,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-04T23:39:36,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-04T23:39:36,COSMOS,,,,,0
2026-08-05T01:01:57,AETHER,,,,,0
2026-08-05T01:01:57,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T01:01:57,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-05T01:01:57,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-05T01:01:57,COSMOS,,,,,0
2026-08-05T04:20:18,AETHER,,,,,0
2026-08-05T04:20:18,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T04:20:18,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-05T04:20:18,AXIOM,,,,,0
2026-08-05T04:20:18,COSMOS,,,,,0
2026-08-05T06:46:02,AETHER,,,,,0
2026-08-05T06:46:02,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T06:46:02,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-05T06:46:02,AXIOM,,,,,0
2026-08-05T06:46:02,COSMOS,,,,,0
2026-08-05T09:27:09,AETHER,,,,,0
2026-08-05T09:27:09,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T09:27:09,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-05T09:27:09,AXIOM,,,,,0
2026-08-05T09:27:09,COSMOS,,,,,0
2026-08-05T11:36:04,AETHER,,,,,0
2026-08-05T11:36:04,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T11:36:04,NEXUS,0,64,0,rp_underwater_republic_base,1
2026-08-05T11:36:04,AXIOM,,,,,0
2026-08-05T11:36:04,COSMOS,,,,,0
2026-08-05T13:16:39,AETHER,,,,,0
2026-08-05T13:16:39,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-05T13:16:39,NEXUS,4,64,0,rp_nexus_base_tropical_v1,1
2026-08-05T13:16:39,AXIOM,,,,,0
2026-08-05T13:16:39,COSMOS,,,,,0
2026-08-05T15:29:21,AETHER,,,,,0
2026-08-05T15:29:21,AETHER_EVENT,2,64,0,rp_venator_notorious,1
2026-08-05T15:29:21,NEXUS,12,64,0,rp_nexus_base_tropical_v1,1
2026-08-05T15:29:21,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-05T15:29:21,COSMOS,,,,,0
